Barcode,Multimedia IRN,Image 1/2,assetID
010178928,2039243,image 1,5f5a49ba4c4aa0fc89a8f0f2bc3ebc416c7b4879
010178929,2039244,image 1,ec52fb7b9a33cb08f57c0b7b561de769e5f665d2
010178930,2039245,image 1,e9fcf566f05fb28d6b41437fba60ecb13ee9f6ff
010178931,2039246,image 1,a94129a019f9c14dfe751f7bc27dc04c7b3f165c
010178932,2039247,image 1,e68e7ccc3411f1b20c24842cb15da05ed27ac8c8
010178933,2039248,image 1,ec7b5f693ce38762f9ad7b0b363f1d3de961e18c
010178934,2039249,image 1,a025e54849a6c8b072d3ccb305cb7a2222508a68
010178935,2039250,image 1,62b472ab4746382fdcecbac8719c46ae554ee76d
010178936,2039251,image 1,e916adc868873daff488797ce93f260c8cd8e22c
010178937,2039252,image 1,6abacb8141cdc306d4f2397c5aab0cafffe58780
010178938,2039253,image 1,477fda800706f3388781dfb9d1192f04973b30ee
010178939,2039254,image 1,f80f4556be40a8332ff88b71c6e04a724a81a055
010178940,2039255,image 1,5e84a5137afb47ac5aa0fe71121fb25aabd9b3f6
010178941,2039256,image 1,2d2f2508db8d8e2b0a19e020f5c9dce23240922d
010685696,2085371,image 1,fe8ab83f82e40b4e846d9953f4a5ef6b491c6443
010685698,2085372,image 1,655819cfd92d33bff271e6715171c9adaa846c54
010685703,2085373,image 1,d8a08fa99dd5e09f5b11928e9393e7a8d04e357c
010685705,2085374,image 1,ee6682dc828762b56f76cb5d7d653de610a49c41
010685706,2085375,image 1,c36016f095fbfa38090831fef7a4c9025f5e826b
010685709,2085376,image 1,dcb2369fda0845d3c9f0504822d1ce4c22d93615
010685710,2085377,image 1,468d3cf3a3a0e724f10651fdba9fb2aebf8cc613
010685711,2085378,image 1,bb358fb4d3a6489e65dccbb90bcac75a0002a042
010685712,2085379,image 1,c74662b7814c69fe276f622dd6f83ae17584e55e
010685715,2085380,image 1,7d65feddbf60679248cea6ee927a11821bec71b9
010685716,2085381,image 1,962859935f563529110b6be41321c5fd4915595a
010685717,2085382,image 1,6839e6b75f4459d188ae79ccd606cd729211d573
010685719,2085383,image 1,e60baab86907213190501b3856dbd3aad98a20f6
